# checkpoint=results/morph_warmup/random/N2000/seed2/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3750  bootstrap_ci95=[0.3504, 0.4000]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,8,0.5333333333333333,1.724,1.328,True,True,True,True
21,11815,17,0,0.0,2.21,0.616,True,False,False,False
24,11816,50,0,0.0,6.027,0.45,True,False,False,False
26,11816,16,13,0.8125,1.531,1.358,True,True,True,True
27,11816,-1,-1,nan,0.0,0.0,False,False,False,
29,11816,21,5,0.23809523809523808,2.748,0.844,True,True,True,False
34,11816,18,4,0.2222222222222222,1.789,0.765,True,True,True,True
39,11816,19,9,0.47368421052631576,1.582,1.597,True,True,True,True
53,11818,-1,-1,nan,0.0,0.0,False,False,False,
54,11818,14,6,0.42857142857142855,1.866,1.103,True,True,True,False
56,11818,14,0,0.0,1.887,0.654,True,False,False,False
65,11840,16,6,0.375,1.628,0.739,True,True,True,False
71,11840,-1,-1,nan,0.0,0.0,False,False,False,
73,11840,26,0,0.0,3.359,0.447,True,False,False,False
75,11840,19,0,0.0,2.154,0.512,True,False,False,False
85,11840,16,4,0.25,2.082,0.746,True,True,True,False
86,11840,19,5,0.2631578947368421,2.428,0.768,True,True,True,True
88,11840,16,7,0.4375,1.955,0.861,True,True,True,True
89,11840,15,0,0.0,1.685,0.588,True,False,False,False
102,12089,16,8,0.5,1.722,1.045,True,True,True,True
107,12089,14,13,0.9285714285714286,1.735,1.75,True,True,True,False
117,12089,22,17,0.7727272727272727,2.3,2.663,True,True,True,False
129,12100,22,6,0.2727272727272727,2.169,1.177,True,True,True,True
130,12100,23,8,0.34782608695652173,2.901,0.601,True,True,True,True
132,12100,17,0,0.0,1.621,0.597,True,False,False,False
140,12101,23,8,0.34782608695652173,2.471,0.678,True,True,True,False
143,12101,17,9,0.5294117647058824,1.757,1.17,True,True,True,True
149,12150,20,8,0.4,2.665,0.78,True,True,True,True
151,12150,24,9,0.375,3.537,1.691,True,True,True,True
162,12321,84,0,0.0,9.014,0.593,True,False,False,False
166,12321,28,0,0.0,4.749,0.603,True,False,False,False
180,12426,20,5,0.25,2.088,1.05,True,True,True,False
181,12426,19,3,0.15789473684210525,2.037,0.832,True,True,True,True
183,12426,19,6,0.3157894736842105,2.417,1.315,True,True,True,True
193,12483,19,12,0.631578947368421,2.61,1.589,True,True,True,True
197,12524,18,6,0.3333333333333333,2.093,0.886,True,True,True,False
208,12534,19,7,0.3684210526315789,1.86,0.898,True,True,True,True
218,12534,27,7,0.25925925925925924,4.573,1.118,True,True,True,True
220,12534,27,9,0.3333333333333333,2.963,0.965,True,True,True,True
222,12551,32,28,0.875,4.57,4.471,True,True,True,True
224,12551,19,5,0.2631578947368421,2.009,0.614,True,True,True,False
232,12551,19,5,0.2631578947368421,2.74,1.04,True,True,True,False
235,12551,13,6,0.46153846153846156,1.256,0.899,True,True,True,False
241,12551,18,5,0.2777777777777778,1.988,0.711,True,True,True,True
248,12776,16,13,0.8125,1.827,2.06,True,True,True,True
251,12776,-1,-1,nan,0.0,0.0,False,False,False,
255,12776,28,5,0.17857142857142858,3.684,0.702,True,True,True,True
258,12790,34,0,0.0,4.339,0.588,True,False,False,False
261,12790,17,2,0.11764705882352941,1.445,0.619,True,True,True,True
273,12798,17,4,0.23529411764705882,1.849,0.839,True,True,True,True
278,12798,18,9,0.5,2.442,0.851,True,True,True,True
284,12798,-1,-1,nan,0.0,0.0,False,False,False,
299,12804,20,14,0.7,2.3,1.802,True,True,True,True
307,12839,18,10,0.5555555555555556,2.095,1.406,True,True,True,True
312,12839,15,4,0.26666666666666666,1.881,0.906,True,True,True,True
315,12863,17,2,0.11764705882352941,1.713,0.557,True,True,True,True
319,12863,18,5,0.2777777777777778,1.972,0.669,True,True,True,True
325,12863,15,6,0.4,1.323,0.874,True,True,True,False
326,12863,15,6,0.4,1.836,1.084,True,True,True,False
329,12863,16,6,0.375,1.95,0.97,True,True,True,True
331,12863,27,6,0.2222222222222222,5.345,0.817,True,True,True,True
337,12906,22,6,0.2727272727272727,3.11,0.738,True,True,True,True
340,12906,20,8,0.4,2.851,0.867,True,True,True,False
343,12906,25,8,0.32,3.569,1.43,True,True,True,True
344,12936,44,0,0.0,3.463,0.544,True,False,False,False
345,12936,20,13,0.65,2.504,1.357,True,True,True,False
364,12959,16,5,0.3125,1.433,0.66,True,True,True,True
365,12959,20,3,0.15,2.157,0.649,True,True,True,False
366,12961,-1,-1,nan,0.0,0.0,False,False,False,
369,12961,17,3,0.17647058823529413,1.799,0.77,True,True,True,True
373,12961,16,11,0.6875,1.738,1.954,True,True,True,False
380,13012,28,0,0.0,3.642,0.613,True,False,False,False
381,13012,20,3,0.15,3.16,0.911,True,True,True,True
384,13012,17,12,0.7058823529411765,1.677,1.407,True,True,True,True
390,13012,27,6,0.2222222222222222,4.668,0.571,True,True,True,False
392,13012,15,7,0.4666666666666667,1.983,0.886,True,True,True,False
395,13014,16,7,0.4375,1.61,0.683,True,True,True,True
405,13014,20,14,0.7,2.161,0.962,True,True,True,False
406,13014,19,16,0.8421052631578947,2.178,1.821,True,True,True,False
412,13014,30,45,1.5,5.23,6.057,True,True,True,True
414,13014,14,0,0.0,1.999,0.635,True,False,False,False
419,13016,17,0,0.0,1.63,0.554,True,False,False,False
420,13016,17,7,0.4117647058823529,1.844,1.05,True,True,True,False
425,13029,17,13,0.7647058823529411,2.358,1.809,True,True,True,True
428,13029,28,11,0.39285714285714285,4.199,1.599,True,True,True,True
430,13029,19,3,0.15789473684210525,2.081,0.559,True,True,True,False
432,13058,16,5,0.3125,1.684,0.926,True,True,True,True
436,13058,23,44,1.9130434782608696,2.716,6.662,True,True,True,False
439,13103,-1,-1,nan,0.0,0.0,False,False,False,
441,13103,16,6,0.375,2.06,1.097,True,True,True,True
451,13103,18,5,0.2777777777777778,2.139,0.822,True,True,True,True
452,13103,25,14,0.56,2.909,1.69,True,True,True,True
454,13103,16,9,0.5625,1.533,1.189,True,True,True,True
455,13103,27,7,0.25925925925925924,4.193,0.841,True,True,True,True
466,13115,25,14,0.56,3.704,3.22,True,True,True,True
471,13224,22,8,0.36363636363636365,3.744,0.946,True,True,True,True
472,13224,16,9,0.5625,1.733,1.389,True,True,True,True
473,13224,22,11,0.5,2.312,1.893,True,True,True,False
476,13224,16,5,0.3125,1.751,0.933,True,True,True,True
481,13224,23,6,0.2608695652173913,2.675,0.885,True,True,True,True
484,13292,27,18,0.6666666666666666,3.615,1.601,True,True,True,True
493,13292,15,5,0.3333333333333333,2.482,1.521,True,True,True,True
494,13292,-1,-1,nan,0.0,0.0,False,False,False,
496,13292,15,0,0.0,1.61,0.656,True,False,False,False
506,13327,16,4,0.25,2.093,0.829,True,True,True,True
513,13327,24,16,0.6666666666666666,3.892,2.201,True,True,True,True
515,13327,27,30,1.1111111111111112,4.869,4.775,True,True,True,True
524,13358,27,0,0.0,3.151,0.437,True,False,False,False
525,13358,25,8,0.32,2.851,0.863,True,True,True,False
528,13358,17,7,0.4117647058823529,2.499,0.89,True,True,True,False
536,13406,16,7,0.4375,1.89,0.824,True,True,True,False
541,13406,20,5,0.25,2.576,0.902,True,True,True,True
542,13406,15,4,0.26666666666666666,1.758,0.625,True,True,True,True
543,13406,15,3,0.2,2.052,0.712,True,True,True,True
545,13406,15,4,0.26666666666666666,1.919,0.662,True,True,True,True
546,13406,13,3,0.23076923076923078,1.657,0.422,True,True,True,False
548,13419,28,23,0.8214285714285714,2.472,1.888,True,True,True,True
556,13419,17,8,0.47058823529411764,1.829,1.488,True,True,True,False
563,13419,26,21,0.8076923076923077,3.495,4.01,True,True,True,True
564,13419,39,24,0.6153846153846154,5.209,3.027,True,True,True,True
565,13419,19,0,0.0,2.724,0.616,True,False,False,False
566,13419,-1,-1,nan,0.0,0.0,False,False,False,
571,13452,32,0,0.0,3.586,0.588,True,False,False,False
573,13452,23,3,0.13043478260869565,3.344,0.584,True,True,True,True
578,13452,26,2,0.07692307692307693,2.546,0.6,True,True,True,False
585,13729,40,0,0.0,4.963,0.59,True,False,False,False
595,13729,29,17,0.5862068965517241,5.178,4.071,True,True,True,True
596,13729,19,8,0.42105263157894735,2.719,0.996,True,True,True,True
598,13729,14,0,0.0,1.656,0.62,True,False,False,False
601,13729,20,6,0.3,3.393,1.115,True,True,True,True
602,13729,14,0,0.0,1.668,0.623,True,False,False,False
608,13729,19,6,0.3157894736842105,2.528,0.655,True,True,True,True
609,13729,21,7,0.3333333333333333,2.342,0.733,True,True,True,True
610,13729,16,6,0.375,1.704,0.867,True,True,True,False
611,13729,17,9,0.5294117647058824,1.89,1.516,True,True,True,True
617,13951,48,0,0.0,3.656,0.557,True,False,False,False
618,13951,29,13,0.4482758620689655,3.604,2.001,True,True,True,True
619,13951,20,8,0.4,1.883,0.832,True,True,True,True
620,13951,25,3,0.12,2.87,0.64,True,True,True,False
635,14009,19,12,0.631578947368421,2.015,2.106,True,True,True,True
639,14009,20,4,0.2,1.939,0.647,True,True,True,False
642,14009,15,5,0.3333333333333333,1.608,0.786,True,True,True,True
644,14009,16,0,0.0,2.188,0.562,True,False,False,False
651,14009,16,18,1.125,2.339,3.382,True,True,True,False
653,14231,22,8,0.36363636363636365,1.745,0.549,True,True,True,True
659,14231,20,3,0.15,2.859,0.649,True,True,True,True
665,14231,15,3,0.2,1.857,1.113,True,True,True,False
668,14308,17,0,0.0,1.606,0.625,True,False,False,False
672,14308,18,0,0.0,1.76,0.586,True,False,False,False
682,14308,33,5,0.15151515151515152,4.329,0.842,True,True,True,False
684,14341,-1,-1,nan,0.0,0.0,False,False,False,
685,14341,16,0,0.0,1.584,0.947,True,False,False,False
686,14341,17,0,0.0,1.454,0.617,True,False,False,False
687,14341,18,0,0.0,1.886,0.398,True,False,False,False
693,14341,17,4,0.23529411764705882,1.91,0.836,True,True,True,False
694,14341,20,5,0.25,3.176,0.664,True,True,True,True
701,14573,19,5,0.2631578947368421,1.979,0.755,True,True,True,True
704,14573,22,8,0.36363636363636365,2.377,1.281,True,True,True,True
705,14573,17,9,0.5294117647058824,1.495,1.265,True,True,True,True
706,14573,16,10,0.625,1.694,1.624,True,True,True,True
707,14573,17,15,0.8823529411764706,1.563,1.592,True,True,True,True
708,14573,17,9,0.5294117647058824,1.628,0.864,True,True,True,True
709,14580,56,0,0.0,6.37,0.602,True,False,False,False
722,14585,17,4,0.23529411764705882,2.45,0.827,True,True,True,True
724,14585,15,5,0.3333333333333333,2.377,0.839,True,True,True,True
725,14585,18,4,0.2222222222222222,2.21,0.41,True,True,True,True
726,14585,16,9,0.5625,1.701,1.734,True,True,True,False
731,14585,17,4,0.23529411764705882,1.802,0.59,True,True,True,True
734,14585,20,6,0.3,2.912,1.076,True,True,True,True
735,14585,16,8,0.5,1.904,1.73,True,True,True,True
736,14585,19,8,0.42105263157894735,2.028,1.639,True,True,True,False
738,14614,23,13,0.5652173913043478,2.533,1.294,True,True,True,True
747,14614,39,28,0.717948717948718,6.046,3.636,True,True,True,True
749,14614,35,20,0.5714285714285714,4.398,1.88,True,True,True,True
751,14624,21,0,0.0,1.814,0.723,True,False,False,False
763,14648,14,3,0.21428571428571427,1.539,0.622,True,True,True,True
766,14648,15,5,0.3333333333333333,1.836,0.715,True,True,True,True
777,14803,16,0,0.0,2.022,0.513,True,False,False,False
785,14982,21,0,0.0,1.706,0.634,True,False,False,False
790,14982,16,7,0.4375,1.443,1.179,True,True,True,False
796,14982,15,4,0.26666666666666666,1.41,0.657,True,True,True,False
804,15017,18,13,0.7222222222222222,2.378,1.351,True,True,True,True
810,15017,16,6,0.375,1.336,0.852,True,True,True,True
815,15017,22,3,0.13636363636363635,2.625,0.442,True,True,True,False
816,15017,14,5,0.35714285714285715,1.695,0.569,True,True,True,False
818,15024,20,9,0.45,1.383,1.601,True,True,True,False
838,15246,15,4,0.26666666666666666,2.046,0.836,True,True,True,False
847,15246,24,4,0.16666666666666666,3.234,0.835,True,True,True,True
872,15587,18,5,0.2777777777777778,2.258,0.786,True,True,True,True
874,15587,17,4,0.23529411764705882,1.615,0.666,True,True,True,True
877,15587,19,0,0.0,2.942,0.963,True,False,False,False
890,15601,19,0,0.0,2.486,0.79,True,False,False,False
891,15601,-1,-1,nan,0.0,0.0,False,False,False,
898,15601,22,3,0.13636363636363635,2.902,0.723,True,True,True,True
899,15601,18,8,0.4444444444444444,1.727,2.13,True,True,True,True
914,15674,52,11,0.21153846153846154,8.642,1.688,True,True,True,True
915,15674,33,11,0.3333333333333333,6.572,2.116,True,True,True,True
916,15674,50,26,0.52,8.564,4.482,True,True,True,True
917,15674,24,5,0.20833333333333334,3.036,0.731,True,True,True,False
918,15674,34,66,1.9411764705882353,4.334,10.047,True,True,True,True
927,15695,22,7,0.3181818181818182,2.039,1.034,True,True,True,True
934,15758,21,58,2.761904761904762,2.274,6.133,True,True,True,False
942,15815,18,6,0.3333333333333333,1.855,0.553,True,True,True,True
963,15958,66,0,0.0,8.066,0.568,True,False,False,False
964,16189,30,30,1.0,2.768,3.177,True,True,True,True
969,16189,23,16,0.6956521739130435,2.935,1.751,True,True,True,True
974,16189,17,19,1.1176470588235294,1.593,2.634,True,True,True,True
986,16223,56,0,0.0,6.238,0.493,True,False,False,False
996,16223,15,7,0.4666666666666667,1.541,1.153,True,True,True,False
999,16223,16,8,0.5,1.776,1.903,True,True,True,True
1000,16223,19,7,0.3684210526315789,2.743,0.822,True,True,True,True
1006,16266,-1,-1,nan,0.0,0.0,False,False,False,
