# checkpoint=results/morph_warmup/random/N3500/seed2/morphgse_best.pth
# n_pairs=1000, seed=42
# median_ratio=0.3333  bootstrap_ci95=[0.3125, 0.3548]  n_boot=1000
idx,shot_id,iters_cold,iters_warm,ratio,t_cold_s,t_warm_s,converged_cold,converged_warm,converged_both,psi_consistent
19,11815,15,4,0.26666666666666666,1.447,0.867,True,True,True,True
21,11815,17,18,1.0588235294117647,1.954,2.999,True,True,True,True
24,11816,50,0,0.0,5.374,0.528,True,False,False,False
26,11816,16,9,0.5625,1.208,1.281,True,True,True,True
27,11816,20,7,0.35,2.225,1.099,True,True,True,False
29,11816,21,10,0.47619047619047616,2.403,1.566,True,True,True,True
34,11816,18,18,1.0,3.078,3.781,True,True,True,True
39,11816,19,7,0.3684210526315789,2.123,1.147,True,True,True,True
53,11818,14,10,0.7142857142857143,1.082,1.016,True,True,True,True
54,11818,14,5,0.35714285714285715,1.382,1.08,True,True,True,True
56,11818,14,4,0.2857142857142857,1.427,0.679,True,True,True,True
65,11840,16,7,0.4375,1.772,1.304,True,True,True,False
71,11840,19,14,0.7368421052631579,1.88,2.544,True,True,True,True
73,11840,26,9,0.34615384615384615,3.473,1.67,True,True,True,True
75,11840,19,9,0.47368421052631576,1.963,1.653,True,True,True,True
85,11840,16,6,0.375,1.658,0.779,True,True,True,True
86,11840,19,10,0.5263157894736842,2.36,1.386,True,True,True,True
88,11840,16,14,0.875,1.802,1.817,True,True,True,False
89,11840,15,3,0.2,1.69,0.814,True,True,True,True
102,12089,16,5,0.3125,1.692,0.682,True,True,True,True
107,12089,14,4,0.2857142857142857,1.145,0.676,True,True,True,False
117,12089,22,9,0.4090909090909091,2.286,1.377,True,True,True,True
129,12100,22,11,0.5,2.539,1.926,True,True,True,True
130,12100,23,9,0.391304347826087,2.907,1.409,True,True,True,True
132,12100,17,4,0.23529411764705882,1.561,0.692,True,True,True,True
140,12101,23,4,0.17391304347826086,2.592,0.686,True,True,True,False
143,12101,17,4,0.23529411764705882,3.023,0.865,True,True,True,True
149,12150,20,6,0.3,2.631,0.805,True,True,True,True
151,12150,24,6,0.25,4.357,0.929,True,True,True,True
162,12321,-1,-1,nan,0.0,0.0,False,False,False,
166,12321,28,24,0.8571428571428571,4.19,3.552,True,True,True,True
180,12426,20,5,0.25,2.861,0.713,True,True,True,True
181,12426,19,7,0.3684210526315789,1.695,1.136,True,True,True,False
183,12426,19,11,0.5789473684210527,2.179,1.749,True,True,True,True
193,12483,19,9,0.47368421052631576,1.933,0.975,True,True,True,True
197,12524,18,7,0.3888888888888889,1.838,0.928,True,True,True,False
208,12534,19,4,0.21052631578947367,1.989,0.52,True,True,True,True
218,12534,27,15,0.5555555555555556,5.045,2.727,True,True,True,False
220,12534,27,6,0.2222222222222222,4.461,0.957,True,True,True,True
222,12551,32,21,0.65625,3.873,2.947,True,True,True,True
224,12551,19,6,0.3157894736842105,1.972,0.643,True,True,True,True
232,12551,-1,-1,nan,0.0,0.0,False,False,False,
235,12551,-1,-1,nan,0.0,0.0,False,False,False,
241,12551,18,5,0.2777777777777778,2.043,0.844,True,True,True,True
248,12776,16,4,0.25,1.561,0.587,True,True,True,True
251,12776,29,10,0.3448275862068966,3.789,1.187,True,True,True,True
255,12776,-1,-1,nan,0.0,0.0,False,False,False,
258,12790,-1,-1,nan,0.0,0.0,False,False,False,
261,12790,17,7,0.4117647058823529,1.453,0.959,True,True,True,True
273,12798,-1,-1,nan,0.0,0.0,False,False,False,
278,12798,18,4,0.2222222222222222,2.129,0.679,True,True,True,False
284,12798,17,4,0.23529411764705882,1.729,0.683,True,True,True,True
299,12804,20,4,0.2,2.834,0.77,True,True,True,True
307,12839,18,10,0.5555555555555556,1.669,1.747,True,True,True,True
312,12839,15,4,0.26666666666666666,1.335,0.812,True,True,True,True
315,12863,17,0,0.0,1.783,0.583,True,False,False,False
319,12863,18,5,0.2777777777777778,1.738,0.861,True,True,True,True
325,12863,15,6,0.4,1.214,1.02,True,True,True,True
326,12863,15,4,0.26666666666666666,1.48,0.989,True,True,True,True
329,12863,-1,-1,nan,0.0,0.0,False,False,False,
331,12863,27,4,0.14814814814814814,4.837,0.637,True,True,True,True
337,12906,22,7,0.3181818181818182,1.966,0.716,True,True,True,False
340,12906,20,6,0.3,2.125,0.855,True,True,True,True
343,12906,25,7,0.28,2.31,0.717,True,True,True,True
344,12936,44,0,0.0,4.032,0.484,True,False,False,False
345,12936,20,7,0.35,2.337,0.777,True,True,True,False
364,12959,16,0,0.0,2.165,0.559,True,False,False,False
365,12959,20,0,0.0,2.658,0.502,True,False,False,False
366,12961,-1,-1,nan,0.0,0.0,False,False,False,
369,12961,17,0,0.0,1.834,0.621,True,False,False,False
373,12961,16,8,0.5,1.74,1.357,True,True,True,False
380,13012,28,6,0.21428571428571427,2.549,0.504,True,False,False,False
381,13012,20,4,0.2,3.085,0.855,True,True,True,True
384,13012,17,12,0.7058823529411765,1.453,0.954,True,True,True,True
390,13012,27,7,0.25925925925925924,3.719,0.94,True,True,True,True
392,13012,15,4,0.26666666666666666,1.77,0.539,True,True,True,False
395,13014,16,7,0.4375,1.448,0.607,True,True,True,True
405,13014,20,15,0.75,3.255,3.244,True,True,True,False
406,13014,19,0,0.0,2.495,0.665,True,False,False,False
